date,time_start,time_end
03-07-2020,15:00:00,18:00:00
04-07-2020,13:15:49,13:15:50
04-07-2020,13:16:12,13:16:13
04-07-2020,14:20:31,14:20:37
04-07-2020,14:45:20,14:45:21
04-07-2020,15:04:20,15:04:21
04-07-2020,15:04:22,15:04:23
04-07-2020,15:06:26,15:06:27
04-07-2020,15:06:58,15:06:59
04-07-2020,15:09:36,15:09:37
04-07-2020,15:09:38,15:09:39
04-07-2020,15:09:40,15:09:41
04-07-2020,15:11:22,15:11:23
04-07-2020,15:11:24,15:11:24
04-07-2020,16:05:43,16:05:44
04-07-2020,16:05:45,16:05:46
04-07-2020,16:33:28,16:33:29
04-07-2020,16:30:00,18:30:00
05-07-2020,15:00:00,20:00:00
04-07-2020,18:56:31,18:56:33
